,item_id,buyer_id,order_date,merchant_id,merchant_name,status,last_updated,description,service_id,signal_type
1,1191248937,-1039890773,2016-02-19,6,Netflix,N,2016-02-20 11:18,"we've cancelled your Netflix Account. This change will be effective Sunday, March 20, 2016.",3,cancellation
2,1221099193,-751620046,2016-02-27,6,Netflix,N,2016-02-28 22:26,Thanks for joining Netflix!,3,signup
3,1294618642,-78172962,2016-03-18,6,Netflix,N,2016-03-18 16:18,"we've cancelled your Netflix Account. This change will be effective Monday, April 11, 2016.",3,cancellation
5,1537007003,1799691237,2016-06-28,6,Netflix,N,2016-06-28 19:49,Thanks for joining Netflix!,3,signup
6,1561855490,455386,2016-07-08,896,Spotify,N,2016-07-08 20:57,Spotify Premium,Spotify Premium,Spotify Premium
8,1613595118,-959572143,2016-07-30,6,Netflix,N,2016-07-31 14:47,Thanks for coming back to Netflix!,3,signup
10,2042458140,-59961403,2016-09-29,1740,World Wrestling Entertainment,N,2016-12-15 00:49,WWE Network subscription purchase,WWE Network subscription purchase,WWE Network subscription purchase
13,2167607241,-152874962,2016-04-15,896,Spotify,N,2017-01-14 05:35,Spotify Premium,Spotify Premium,Spotify Premium
16,2250411156,221400612,2016-11-09,6,Netflix,N,2017-02-05 13:05,Thanks for coming back to Netflix!,3,signup
22,2758666338,-152874962,2016-03-03,1178,Hulu,N,2017-09-23 11:19,Welcome to Hulu Limited Commercials plan month,Welcome to Hulu Limited Commercials plan month,Welcome to Hulu Limited Commercials plan month
23,2758747220,-1422041622,2016-02-10,1178,Hulu,N,2017-09-23 11:19,Welcome to Hulu No Commercials plan month,Welcome to Hulu No Commercials plan month,Welcome to Hulu No Commercials plan month
24,2758747349,-1422041622,2016-01-10,1178,Hulu,N,2017-09-23 11:19,Welcome to Hulu No Commercials plan month,Welcome to Hulu No Commercials plan month,Welcome to Hulu No Commercials plan month
25,2758815097,470057190,2016-12-18,1178,Hulu,N,2017-09-23 11:19,Welcome to Hulu Limited Commercials plan month,Welcome to Hulu Limited Commercials plan month,Welcome to Hulu Limited Commercials plan month
26,2878193462,-274131254,2016-12-07,1178,Hulu,N,2017-09-23 11:19,Hulu subscription,1,Hulu subscription
27,2758703739,-59961403,2016-03-17,1178,Hulu,N,2017-09-23 11:19,Welcome to Free Trial Hulu No Commercials plan,Welcome to Free Trial Hulu No Commercials plan,Welcome to Free Trial Hulu No Commercials plan
28,3142471431,470057190,2016-10-27,1178,Hulu,N,2017-09-24 11:17,Welcome to Hulu Limited Commercials plan month,Welcome to Hulu Limited Commercials plan month,Welcome to Hulu Limited Commercials plan month
29,3142477416,470057190,2016-06-01,1178,Hulu,N,2017-09-24 11:17,Welcome to Hulu Limited Commercials plan month,Welcome to Hulu Limited Commercials plan month,Welcome to Hulu Limited Commercials plan month
30,3142480184,470057190,2016-01-30,1178,Hulu,N,2017-09-24 11:17,Welcome to Free Trial Hulu Limited Commercials plan,Welcome to Free Trial Hulu Limited Commercials plan,Welcome to Free Trial Hulu Limited Commercials plan
38,3721942246,211305218,2016-07-17,6,Netflix,N,2018-01-19 12:23,we've cancelled your Netflix Account,3,cancellation
40,3721943009,211305218,2016-10-16,6,Netflix,N,2018-01-19 12:23,we've cancelled your Netflix Account,3,cancellation
45,4024957644,-1101536587,2016-05-04,6,Netflix,N,2018-03-20 10:49,we've cancelled your Netflix Account,3,cancellation
44,4024954171,-1101536587,2016-04-11,6,Netflix,N,2018-03-20 10:49,we've cancelled your Netflix Account,3,cancellation
41,4024926816,-1101536587,2016-06-14,1178,Hulu,N,2018-03-20 10:49,Welcome to Hulu Limited Commercials plan month,Welcome to Hulu Limited Commercials plan month,Welcome to Hulu Limited Commercials plan month
